"A,PC,DPR,QU1,F,Y25-29,EU28",8.4 ,: 
"A,PC,DPR,QU1,F,Y25-29,FI",4.7 u,: 
"A,PC,DPR,QU1,F,Y25-29,FR",5.5 ,: 
"A,PC,DPR,QU1,F,Y25-29,HR",: u,: 
"A,PC,DPR,QU1,F,Y25-29,HU",5.8 u,: 
"A,PC,DPR,QU1,F,Y25-29,IE",8.4 u,: 
"A,PC,DPR,QU1,F,Y25-29,IS",15.4 u,: 
"A,PC,DPR,QU1,F,Y25-29,IT",0.9 ,: 
"A,PC,DPR,QU1,F,Y25-29,LT",3.9 u,: 
"A,PC,DPR,QU1,F,Y25-29,LU",6.7 u,: 
"A,PC,DPR,QU1,F,Y25-29,LV",10.0 u,: 
"A,PC,DPR,QU1,F,Y25-29,MT",: u,: 
"A,PC,DPR,QU1,F,Y25-29,NO",7.2 ,: 
"A,PC,DPR,QU1,F,Y25-29,PL",4.5 ,: 
"A,PC,DPR,QU1,F,Y25-29,PT",11.0 ,: 
"A,PC,DPR,QU1,F,Y25-29,RO",1.9 ,: 
"A,PC,DPR,QU1,F,Y25-29,SE",12.6 ,: 
"A,PC,DPR,QU1,F,Y25-29,SI",5.7 u,: 
"A,PC,DPR,QU1,F,Y25-29,SK",4.4 ,: 
"A,PC,DPR,QU1,F,Y25-29,TR",10.6 ,: 
"A,PC,DPR,QU1,F,Y25-29,UK",12.8 ,: 
"A,PC,DPR,QU1,F,Y25-34,AT",9.4 ,3.8 
"A,PC,DPR,QU1,F,Y25-34,BE",: ,20.3 
"A,PC,DPR,QU1,F,Y25-34,BG",6.4 ,2.3 u
"A,PC,DPR,QU1,F,Y25-34,CY",3.1 ,4.8 
"A,PC,DPR,QU1,F,Y25-34,CZ",3.4 ,3.1 
"A,PC,DPR,QU1,F,Y25-34,DE",14.8 ,26.5 
"A,PC,DPR,QU1,F,Y25-34,DK",11.7 ,22.4 
"A,PC,DPR,QU1,F,Y25-34,EE",11.0 ,6.7 u
"A,PC,DPR,QU1,F,Y25-34,EL",4.8 ,2.8 u
"A,PC,DPR,QU1,F,Y25-34,ES",10.4 ,4.1 
"A,PC,DPR,QU1,F,Y25-34,EU27_2020",7.5 ,11.6 
"A,PC,DPR,QU1,F,Y25-34,EU28",8.5 ,: 
"A,PC,DPR,QU1,F,Y25-34,FI",8.6 ,15.9 
"A,PC,DPR,QU1,F,Y25-34,FR",6.2 ,18.3 
"A,PC,DPR,QU1,F,Y25-34,HR",0 u,: u
"A,PC,DPR,QU1,F,Y25-34,HU",12.3 ,4.9 
"A,PC,DPR,QU1,F,Y25-34,IE",6.1 ,18.9 
"A,PC,DPR,QU1,F,Y25-34,IS",16.5 ,12.6 
"A,PC,DPR,QU1,F,Y25-34,IT",2.0 ,1.3 
"A,PC,DPR,QU1,F,Y25-34,LT",4.2 ,: u
"A,PC,DPR,QU1,F,Y25-34,LU",15.9 ,15.6 
"A,PC,DPR,QU1,F,Y25-34,LV",4.9 ,12.4 u
"A,PC,DPR,QU1,F,Y25-34,MT",8.9 u,16.2 u
"A,PC,DPR,QU1,F,Y25-34,NL",: ,9.6 
"A,PC,DPR,QU1,F,Y25-34,NO",6.7 ,18.4 
"A,PC,DPR,QU1,F,Y25-34,PL",3.9 ,1.6 
"A,PC,DPR,QU1,F,Y25-34,PT",12.6 ,5.1 
"A,PC,DPR,QU1,F,Y25-34,RO",1.1 ,2.3 
"A,PC,DPR,QU1,F,Y25-34,RS",: ,0 
"A,PC,DPR,QU1,F,Y25-34,SE",10.8 ,21.1 
"A,PC,DPR,QU1,F,Y25-34,SI",10.7 u,5.0 u
"A,PC,DPR,QU1,F,Y25-34,SK",4.0 ,4.7 
"A,PC,DPR,QU1,F,Y25-34,TR",10.2 ,4.7 
"A,PC,DPR,QU1,F,Y25-34,UK",14.4 ,: 
"A,PC,DPR,QU1,F,Y25-64,EU27_2020",10.9 ,: 
"A,PC,DPR,QU1,F,Y35-44,AT",10.6 ,2.7 
"A,PC,DPR,QU1,F,Y35-44,BE",: ,20.4 u
"A,PC,DPR,QU1,F,Y35-44,BG",5.6 ,6.9 u
"A,PC,DPR,QU1,F,Y35-44,CY",4.5 ,1.5 
"A,PC,DPR,QU1,F,Y35-44,CZ",8.4 ,7.5 
"A,PC,DPR,QU1,F,Y35-44,DE",10.4 ,19.5 
"A,PC,DPR,QU1,F,Y35-44,DK",18.2 u,25.0 u
"A,PC,DPR,QU1,F,Y35-44,EE",5.0 ,13.7 u
"A,PC,DPR,QU1,F,Y35-44,EL",4.5 ,5.9 
"A,PC,DPR,QU1,F,Y35-44,ES",12.3 ,5.3 
"A,PC,DPR,QU1,F,Y35-44,EU27_2020",9.1 ,11.0 
"A,PC,DPR,QU1,F,Y35-44,EU28",10.0 ,: 
"A,PC,DPR,QU1,F,Y35-44,FI",11.9 u,6.6 
"A,PC,DPR,QU1,F,Y35-44,FR",14.7 ,18.2 
"A,PC,DPR,QU1,F,Y35-44,HR",8.9 u,10.0 u
"A,PC,DPR,QU1,F,Y35-44,HU",21.4 ,5.9 
"A,PC,DPR,QU1,F,Y35-44,IE",7.1 ,12.6 
"A,PC,DPR,QU1,F,Y35-44,IS",16.8 ,14.0 u
"A,PC,DPR,QU1,F,Y35-44,IT",4.9 ,4.3 
"A,PC,DPR,QU1,F,Y35-44,LT",5.4 ,: u
"A,PC,DPR,QU1,F,Y35-44,LU",14.8 ,10.9 u
"A,PC,DPR,QU1,F,Y35-44,LV",6.5 ,8.6 u
"A,PC,DPR,QU1,F,Y35-44,MT",6.7 u,7.7 
"A,PC,DPR,QU1,F,Y35-44,NL",: ,21.5 
"A,PC,DPR,QU1,F,Y35-44,NO",11.1 ,11.3 
"A,PC,DPR,QU1,F,Y35-44,PL",6.6 ,3.4 
"A,PC,DPR,QU1,F,Y35-44,PT",12.5 ,6.8 
"A,PC,DPR,QU1,F,Y35-44,RO",1.9 ,2.1 
"A,PC,DPR,QU1,F,Y35-44,RS",: ,3.9 
"A,PC,DPR,QU1,F,Y35-44,SE",3.2 u,24.3 
"A,PC,DPR,QU1,F,Y35-44,SI",8.0 ,9.0 
"A,PC,DPR,QU1,F,Y35-44,SK",4.6 ,6.5 
"A,PC,DPR,QU1,F,Y35-44,TR",8.9 ,9.5 
"A,PC,DPR,QU1,F,Y35-44,UK",17.7 ,: 
"A,PC,DPR,QU1,F,Y45-54,AT",13.7 ,15.2 
"A,PC,DPR,QU1,F,Y45-54,BE",: ,19.8 
"A,PC,DPR,QU1,F,Y45-54,BG",13.5 ,10.0 
"A,PC,DPR,QU1,F,Y45-54,CY",5.8 ,4.1 
"A,PC,DPR,QU1,F,Y45-54,CZ",6.7 ,12.4 
"A,PC,DPR,QU1,F,Y45-54,DE",15.8 ,15.3 
"A,PC,DPR,QU1,F,Y45-54,DK",6.9 u,21.4 
"A,PC,DPR,QU1,F,Y45-54,EE",16.6 ,14.8 
"A,PC,DPR,QU1,F,Y45-54,EL",5.4 ,7.3 
"A,PC,DPR,QU1,F,Y45-54,ES",14.4 ,10.9 
"A,PC,DPR,QU1,F,Y45-54,EU27_2020",12.6 ,12.8 
